Name,intensity_x,intensity_y,unnormalized_intensity,label
seq1227_all_clean_seqs_gap0_no20_0.4,430.23836504935946,708.6357619857786,706.016079101935,independent
seq1228_all_clean_seqs_gap0_no20_0.4,4179.7890470312905,7745.699413432321,6492.063015584265,cooperative
seq1229_all_clean_seqs_gap0_no20_0.4,427.76835574962297,652.8257147432737,660.127684614264,independent
seq122_all_clean_seqs_gap0_no20_0.4,683.137192780338,676.0619071159324,679.2330538922156,ambiguous
seq1230_all_clean_seqs_gap0_no20_0.4,753.8383339584116,6251.810769961824,5263.751004050675,cooperative
seq1231_all_clean_seqs_gap0_no20_0.4,724.4732736549036,5581.921890229103,4712.95187925317,cooperative
seq1232_all_clean_seqs_gap0_no20_0.4,647.7923678646935,920.713973216097,880.3920042268405,independent
seq1233_all_clean_seqs_gap0_no20_0.4,582.6468589291114,591.565118721828,609.7577147669535,independent
seq1234_all_clean_seqs_gap0_no20_0.4,487.18799615391947,498.3518246333646,533.1154501216545,ambiguous
seq1235_all_clean_seqs_gap0_no20_0.4,390.359020631602,668.5932632334157,673.0921510673236,independent
seq1236_all_clean_seqs_gap0_no20_0.4,846.8054182029159,1481.9431637472617,1341.8484581371,cooperative
seq1239_all_clean_seqs_gap0_no20_0.4,391.95893803283354,634.503899839347,645.063037447989,cooperative
seq123_all_clean_seqs_gap0_no20_0.4,3250.51603432701,5070.608973349988,4292.537814121884,cooperative
seq1240_all_clean_seqs_gap0_no20_0.4,527.4912658802175,484.5971217155086,521.805994840015,independent
seq1241_all_clean_seqs_gap0_no20_0.4,434.21690546376897,483.4235516000026,520.841056606129,independent
seq1244_all_clean_seqs_gap0_no20_0.4,544.7414887933226,393.2129448379477,446.667675385326,independent
seq1245_all_clean_seqs_gap0_no20_0.4,553.448034333227,485.21353087014757,522.3128216185514,independent
seq1246_all_clean_seqs_gap0_no20_0.4,3506.36521495724,6764.345679843155,5685.169821905125,cooperative
seq1247_all_clean_seqs_gap0_no20_0.4,642.881229213051,5120.805112051104,4333.81031483248,cooperative
seq1248_all_clean_seqs_gap0_no20_0.4,438.7366906664555,652.7169042487815,660.038217947555,independent
seq1249_all_clean_seqs_gap0_no20_0.4,1127.84134159993,7478.074068997998,6272.01487036521,cooperative
seq1250_all_clean_seqs_gap0_no20_0.4,366.7900188167315,922.6342903574032,881.9709362449196,cooperative
seq1251_all_clean_seqs_gap0_no20_0.4,1587.8124416175,3021.165738221973,2607.435143540055,cooperative
seq1252_all_clean_seqs_gap0_no20_0.4,1473.83865812218,1970.3634805029496,1743.43966399454,independent
seq1253_all_clean_seqs_gap0_no20_0.4,579.4223015779326,1185.5637727774779,1098.1580281372649,independent
seq1255_all_clean_seqs_gap0_no20_0.4,1443.096803158815,1967.2173302197602,1740.8528217959451,independent
seq1256_all_clean_seqs_gap0_no20_0.4,2014.167643411185,3258.15210500874,2802.29116722442,independent
seq1257_all_clean_seqs_gap0_no20_0.4,440.022561813187,526.0510243034198,555.8904138468995,independent
seq1258_all_clean_seqs_gap0_no20_0.4,598.943818362612,624.9315439439727,637.192410827756,independent
